# l                Dl               -dDl             +dDl
# Planck PR4 / NPIPE best-fit TE spectra (Tristram+2021)
# doi:10.1051/0004-6361/202039585
  2.12000000e+02  1.50521972e+00  8.74299391e+00  8.74299391e+00
  2.13000000e+02  3.00585851e+00  8.77337140e+00  8.77337140e+00
  2.14000000e+02  4.52193923e+00  8.80584100e+00  8.80584100e+00
  2.15000000e+02  6.05286964e+00  8.84042284e+00  8.84042284e+00
  2.16000000e+02  7.59805025e+00  8.87712944e+00  8.87712944e+00
  2.17000000e+02  9.15685940e+00  8.91592974e+00  8.91592974e+00
  2.18000000e+02  1.07287870e+01  8.95683674e+00  8.95683674e+00
  2.19000000e+02  1.23131449e+01  8.99983990e+00  8.99983990e+00
  2.20000000e+02  1.39094084e+01  9.04493722e+00  9.04493722e+00
  2.21000000e+02  1.55168301e+01  9.09209467e+00  9.09209467e+00
  2.22000000e+02  1.71349601e+01  9.14128189e+00  9.14128189e+00
  2.23000000e+02  1.87629771e+01  9.19248185e+00  9.19248185e+00
  2.24000000e+02  2.04003571e+01  9.24565945e+00  9.24565945e+00
  2.25000000e+02  2.20462790e+01  9.30079598e+00  9.30079598e+00
  2.26000000e+02  2.37002193e+01  9.35784584e+00  9.35784584e+00
  2.27000000e+02  2.53614316e+01  9.41674372e+00  9.41674372e+00
  2.28000000e+02  2.70292441e+01  9.47750233e+00  9.47750233e+00
  2.29000000e+02  2.87029850e+01  9.54001115e+00  9.54001115e+00
  2.30000000e+02  3.03819828e+01  9.60429347e+00  9.60429347e+00
  2.31000000e+02  3.20654919e+01  9.67022090e+00  9.67022090e+00
  2.32000000e+02  3.37528412e+01  9.73780922e+00  9.73780922e+00
  2.33000000e+02  3.54432853e+01  9.80696248e+00  9.80696248e+00
  2.34000000e+02  3.71360792e+01  9.87763079e+00  9.87763079e+00
  2.35000000e+02  3.88306266e+01  9.94974938e+00  9.94974938e+00
  2.36000000e+02  4.05261084e+01  1.00232340e+01  1.00232340e+01
  2.37000000e+02  4.22217802e+01  1.00980384e+01  1.00980384e+01
  2.38000000e+02  4.39169719e+01  1.01740605e+01  1.01740605e+01
  2.39000000e+02  4.56109394e+01  1.02512445e+01  1.02512445e+01
  2.40000000e+02  4.73027901e+01  1.03295045e+01  1.03295045e+01
  2.41000000e+02  4.89920031e+01  1.04087741e+01  1.04087741e+01
  2.42000000e+02  5.06776863e+01  1.04889695e+01  1.04889695e+01
  2.43000000e+02  5.23590963e+01  1.05700315e+01  1.05700315e+01
  2.44000000e+02  5.40356384e+01  1.06518798e+01  1.06518798e+01
  2.45000000e+02  5.57064953e+01  1.07344340e+01  1.07344340e+01
  2.46000000e+02  5.73709985e+01  1.08176279e+01  1.08176279e+01
  2.47000000e+02  5.90284053e+01  1.09013856e+01  1.09013856e+01
  2.48000000e+02  6.06778990e+01  1.09856507e+01  1.09856507e+01
  2.49000000e+02  6.23188858e+01  1.10703301e+01  1.10703301e+01
  2.50000000e+02  6.39505494e+01  1.11553745e+01  1.11553745e+01
  2.51000000e+02  6.55720001e+01  1.12406844e+01  1.12406844e+01
  2.52000000e+02  6.71825745e+01  1.13262157e+01  1.13262157e+01
  2.53000000e+02  6.87814619e+01  1.14118567e+01  1.14118567e+01
  2.54000000e+02  7.03677772e+01  1.14975438e+01  1.14975438e+01
  2.55000000e+02  7.19408585e+01  1.15831950e+01  1.15831950e+01
  2.56000000e+02  7.34998955e+01  1.16687370e+01  1.16687370e+01
  2.57000000e+02  7.50443007e+01  1.17541051e+01  1.17541051e+01
  2.58000000e+02  7.65730413e+01  1.18392103e+01  1.18392103e+01
  2.59000000e+02  7.80865703e+01  1.19239982e+01  1.19239982e+01
  2.60000000e+02  7.95826666e+01  1.20083928e+01  1.20083928e+01
  2.61000000e+02  8.10620807e+01  1.20923401e+01  1.20923401e+01
  2.62000000e+02  8.25233345e+01  1.21757737e+01  1.21757737e+01
  2.63000000e+02  8.39664359e+01  1.22586196e+01  1.22586196e+01
  2.64000000e+02  8.53899074e+01  1.23408283e+01  1.23408283e+01
  2.65000000e+02  8.67944998e+01  1.24223290e+01  1.24223290e+01
  2.66000000e+02  8.81779932e+01  1.25030854e+01  1.25030854e+01
  2.67000000e+02  8.95396529e+01  1.25830242e+01  1.25830242e+01
  2.68000000e+02  9.08802306e+01  1.26620934e+01  1.26620934e+01
  2.69000000e+02  9.21975064e+01  1.27402379e+01  1.27402379e+01
  2.70000000e+02  9.34922320e+01  1.28173815e+01  1.28173815e+01
  2.71000000e+02  9.47621879e+01  1.28934892e+01  1.28934892e+01
  2.72000000e+02  9.60081260e+01  1.29684779e+01  1.29684779e+01
  2.73000000e+02  9.72285699e+01  1.30423208e+01  1.30423208e+01
  2.74000000e+02  9.84242718e+01  1.31149439e+01  1.31149439e+01
  2.75000000e+02  9.95930126e+01  1.31863134e+01  1.31863134e+01
  2.76000000e+02  1.00735545e+02  1.32563666e+01  1.32563666e+01
  2.77000000e+02  1.01850392e+02  1.33250726e+01  1.33250726e+01
  2.78000000e+02  1.02936822e+02  1.33923795e+01  1.33923795e+01
  2.79000000e+02  1.03995587e+02  1.34582555e+01  1.34582555e+01
  2.80000000e+02  1.05025210e+02  1.35226517e+01  1.35226517e+01
  2.81000000e+02  1.06025704e+02  1.35855286e+01  1.35855286e+01
  2.82000000e+02  1.06996333e+02  1.36468579e+01  1.36468579e+01
  2.83000000e+02  1.07936367e+02  1.37066006e+01  1.37066006e+01
  2.84000000e+02  1.08845072e+02  1.37647317e+01  1.37647317e+01
  2.85000000e+02  1.09722459e+02  1.38212044e+01  1.38212044e+01
  2.86000000e+02  1.10568538e+02  1.38759934e+01  1.38759934e+01
  2.87000000e+02  1.11382576e+02  1.39290681e+01  1.39290681e+01
  2.88000000e+02  1.12163100e+02  1.39803895e+01  1.39803895e+01
  2.89000000e+02  1.12911604e+02  1.40299306e+01  1.40299306e+01
