# l                Dl               -dDl             +dDl
# Planck PR4 / NPIPE best-fit EE spectra (Tristram+2021)
# doi:10.1051/0004-6361/202039585
  2.44000000e+02  1.96196897e+00  5.03773991e-01  5.03773991e-01
  2.45000000e+02  2.03174072e+00  5.10824306e-01  5.10824306e-01
  2.46000000e+02  2.10367937e+00  5.18034548e-01  5.18034548e-01
  2.47000000e+02  2.17781406e+00  5.25405853e-01  5.25405853e-01
  2.48000000e+02  2.25415907e+00  5.32939519e-01  5.32939519e-01
  2.49000000e+02  2.33271383e+00  5.40636576e-01  5.40636576e-01
  2.50000000e+02  2.41350746e+00  5.48498143e-01  5.48498143e-01
  2.51000000e+02  2.49652447e+00  5.56525206e-01  5.56525206e-01
  2.52000000e+02  2.58178619e+00  5.64717590e-01  5.64717590e-01
  2.53000000e+02  2.66929158e+00  5.73074992e-01  5.73074992e-01
  2.54000000e+02  2.75905449e+00  5.81596966e-01  5.81596966e-01
  2.55000000e+02  2.85106644e+00  5.90283195e-01  5.90283195e-01
  2.56000000e+02  2.94534128e+00  5.99133234e-01  5.99133234e-01
  2.57000000e+02  3.04187798e+00  6.08146688e-01  6.08146688e-01
  2.58000000e+02  3.14066809e+00  6.17323125e-01  6.17323125e-01
  2.59000000e+02  3.24172546e+00  6.26662131e-01  6.26662131e-01
  2.60000000e+02  3.34504164e+00  6.36163239e-01  6.36163239e-01
  2.61000000e+02  3.45061562e+00  6.45826017e-01  6.45826017e-01
  2.62000000e+02  3.55844641e+00  6.55650009e-01  6.55650009e-01
  2.63000000e+02  3.66853299e+00  6.65634713e-01  6.65634713e-01
  2.64000000e+02  3.78086695e+00  6.75779765e-01  6.75779765e-01
  2.65000000e+02  3.89543245e+00  6.86084629e-01  6.86084629e-01
  2.66000000e+02  4.01222106e+00  6.96548693e-01  6.96548693e-01
  2.67000000e+02  4.13121697e+00  7.07171575e-01  7.07171575e-01
  2.68000000e+02  4.25241178e+00  7.17952451e-01  7.17952451e-01
  2.69000000e+02  4.37579710e+00  7.28889411e-01  7.28889411e-01
  2.70000000e+02  4.50134970e+00  7.39980119e-01  7.39980119e-01
  2.71000000e+02  4.62906120e+00  7.51222326e-01  7.51222326e-01
  2.72000000e+02  4.75891583e+00  7.62613750e-01  7.62613750e-01
  2.73000000e+02  4.89087551e+00  7.74152134e-01  7.74152134e-01
  2.74000000e+02  5.02493935e+00  7.85835271e-01  7.85835271e-01
  2.75000000e+02  5.16107672e+00  7.97660786e-01  7.97660786e-01
  2.76000000e+02  5.29927188e+00  8.09626463e-01  8.09626463e-01
  2.77000000e+02  5.43950168e+00  8.21730024e-01  8.21730024e-01
  2.78000000e+02  5.58174298e+00  8.33969288e-01  8.33969288e-01
  2.79000000e+02  5.72595777e+00  8.46341906e-01  8.46341906e-01
  2.80000000e+02  5.87211551e+00  8.58845789e-01  8.58845789e-01
  2.81000000e+02  6.02020054e+00  8.71478539e-01  8.71478539e-01
  2.82000000e+02  6.17016747e+00  8.84237977e-01  8.84237977e-01
  2.83000000e+02  6.32199323e+00  8.97121875e-01  8.97121875e-01
  2.84000000e+02  6.47564733e+00  9.10128028e-01  9.10128028e-01
  2.85000000e+02  6.63109189e+00  9.23253952e-01  9.23253952e-01
  2.86000000e+02  6.78829644e+00  9.36496131e-01  9.36496131e-01
  2.87000000e+02  6.94720826e+00  9.49850732e-01  9.49850732e-01
  2.88000000e+02  7.10780438e+00  9.63313889e-01  9.63313889e-01
  2.89000000e+02  7.27003952e+00  9.76881874e-01  9.76881874e-01
  2.90000000e+02  7.43387590e+00  9.90550883e-01  9.90550883e-01
  2.91000000e+02  7.59929057e+00  1.00431711e+00  1.00431711e+00
  2.92000000e+02  7.76614920e+00  1.01817693e+00  1.01817693e+00
  2.93000000e+02  7.93452546e+00  1.03212658e+00  1.03212658e+00
  2.94000000e+02  8.10434450e+00  1.04616232e+00  1.04616232e+00
  2.95000000e+02  8.27545717e+00  1.06028048e+00  1.06028048e+00
  2.96000000e+02  8.44793722e+00  1.07447754e+00  1.07447754e+00
  2.97000000e+02  8.62163557e+00  1.08874978e+00  1.08874978e+00
  2.98000000e+02  8.79655172e+00  1.10309340e+00  1.10309340e+00
  2.99000000e+02  8.97261090e+00  1.11750504e+00  1.11750504e+00
  3.00000000e+02  9.14973839e+00  1.13198099e+00  1.13198099e+00
  3.01000000e+02  9.32800805e+00  1.14651773e+00  1.14651773e+00
  3.02000000e+02  9.50719668e+00  1.16111145e+00  1.16111145e+00
  3.03000000e+02  9.68737825e+00  1.17575751e+00  1.17575751e+00
  3.04000000e+02  9.86847817e+00  1.19045108e+00  1.19045108e+00
  3.05000000e+02  1.00504219e+01  1.20518730e+00  1.20518730e+00
  3.06000000e+02  1.02332092e+01  1.21996122e+00  1.21996122e+00
  3.07000000e+02  1.04166913e+01  1.23476815e+00  1.23476815e+00
  3.08000000e+02  1.06008679e+01  1.24960330e+00  1.24960330e+00
  3.09000000e+02  1.07856647e+01  1.26446196e+00  1.26446196e+00
  3.10000000e+02  1.09709329e+01  1.27933931e+00  1.27933931e+00
  3.11000000e+02  1.11567468e+01  1.29423070e+00  1.29423070e+00
  3.12000000e+02  1.13429576e+01  1.30913155e+00  1.30913155e+00
  3.13000000e+02  1.15295653e+01  1.32403719e+00  1.32403719e+00
  3.14000000e+02  1.17164213e+01  1.33894278e+00  1.33894278e+00
  3.15000000e+02  1.19034513e+01  1.35384395e+00  1.35384395e+00
  3.16000000e+02  1.20907296e+01  1.36873599e+00  1.36873599e+00
  3.17000000e+02  1.22780335e+01  1.38361446e+00  1.38361446e+00
  3.18000000e+02  1.24653629e+01  1.39847477e+00  1.39847477e+00
  3.19000000e+02  1.26526438e+01  1.41331232e+00  1.41331232e+00
  3.20000000e+02  1.28398763e+01  1.42812215e+00  1.42812215e+00
  3.21000000e+02  1.30269120e+01  1.44289912e+00  1.44289912e+00
  3.22000000e+02  1.32136767e+01  1.45763818e+00  1.45763818e+00
  3.23000000e+02  1.34000965e+01  1.47233438e+00  1.47233438e+00
  3.24000000e+02  1.35860972e+01  1.48698261e+00  1.48698261e+00
