# ell,Dl_TT,Dl_EE,Dl_TE
8.500000000000000000e+01,2.239408810487424034e+03,5.513769330204453256e-01,-1.362389263058985556e+01
8.600000000000000000e+01,2.267176536444221256e+03,5.669056035292566742e-01,-1.422535057730449282e+01
8.700000000000000000e+01,2.295145078295858184e+03,5.824865173145943320e-01,-1.483390903132637462e+01
8.800000000000000000e+01,2.323295574167487757e+03,5.981068858523783671e-01,-1.544900947333720964e+01
8.900000000000000000e+01,2.351638864956550606e+03,6.137539225431323242e-01,-1.607016766475832625e+01
9.000000000000000000e+01,2.380178366344141978e+03,6.294103874061955928e-01,-1.669704790581249298e+01
9.100000000000000000e+01,2.408924374046882349e+03,6.450629087693053876e-01,-1.732909831130425360e+01
9.200000000000000000e+01,2.437877574304228801e+03,6.606965031366979213e-01,-1.796609027183037455e+01
9.300000000000000000e+01,2.467052959257403472e+03,6.762963426358751251e-01,-1.860750473999098276e+01
9.400000000000000000e+01,2.496443245061858306e+03,6.918498293313029013e-01,-1.925311972703334362e+01
9.500000000000000000e+01,2.526063425736489080e+03,7.073413973434022894e-01,-1.990241625471901799e+01
9.600000000000000000e+01,2.555906219502875956e+03,7.227569682783979710e-01,-2.055494963845504230e+01
9.700000000000000000e+01,2.585971771363932476e+03,7.380817235916025121e-01,-2.121027523293951589e+01
9.800000000000000000e+01,2.616267653171443271e+03,7.533001046366052389e-01,-2.186794843407158595e+01
9.900000000000000000e+01,2.646771735557073043e+03,7.683980403963202033e-01,-2.252745042462556668e+01
1.000000000000000000e+02,2.677499018601552507e+03,7.833636900875450282e-01,-2.318826243243855245e+01
1.010000000000000000e+02,2.708442226866863166e+03,7.981822452610560781e-01,-2.384986573236045260e+01
1.020000000000000000e+02,2.739601511916360778e+03,8.128314744606768283e-01,-2.451196441696504280e+01
1.030000000000000000e+02,2.770962175447884874e+03,8.273114257536735572e-01,-2.517374283602011786e+01
1.040000000000000000e+02,2.802524371790047098e+03,8.415924473819929030e-01,-2.583483092971457395e+01
1.050000000000000000e+02,2.834280831011968985e+03,8.556671671597252393e-01,-2.649463592438966231e+01
1.060000000000000000e+02,2.866224284521888876e+03,8.695207899913370841e-01,-2.715249084702140081e+01
1.070000000000000000e+02,2.898347465030148669e+03,8.831459491360310610e-01,-2.780795155220058135e+01
1.080000000000000000e+02,2.930635680877170216e+03,8.965204293421200621e-01,-2.846042544285662856e+01
1.090000000000000000e+02,2.963096518477152131e+03,9.096368693531267091e-01,-2.910924572847088854e+01
1.100000000000000000e+02,2.995715288503280135e+03,9.224730594088195179e-01,-2.975396845202485707e+01
1.110000000000000000e+02,3.028484586379570828e+03,9.350216131863539060e-01,-3.039407310748916302e+01
1.120000000000000000e+02,3.061403866394525721e+03,9.472750248772133785e-01,-3.102880705090872837e+01
1.130000000000000000e+02,3.094465016173904132e+03,9.592109095906298233e-01,-3.165778663059275644e+01
1.140000000000000000e+02,3.127659924152430449e+03,9.708143107658457893e-01,-3.228033124213973082e+01
1.150000000000000000e+02,3.160980479481358088e+03,9.820851257760420117e-01,-3.289590886773064682e+01
1.160000000000000000e+02,3.194425997558842937e+03,9.930084034013941796e-01,-3.350398756537371980e+01
1.170000000000000000e+02,3.227988368684322722e+03,1.003561769423292338e+00,-3.410396121434425964e+01
1.180000000000000000e+02,3.261652057963110565e+03,1.013745129088165164e+00,-3.469522377306347494e+01
1.190000000000000000e+02,3.295416382087410057e+03,1.023543538940787867e+00,-3.527731779315978144e+01
1.200000000000000000e+02,3.329273232369953803e+03,1.032949483657247258e+00,-3.584963739595636412e+01
1.210000000000000000e+02,3.363214500281437267e+03,1.041948024739255851e+00,-3.641157678637863171e+01
1.220000000000000000e+02,3.397224651742900278e+03,1.050531651711960945e+00,-3.696267876677540443e+01
1.230000000000000000e+02,3.431303003924148470e+03,1.058692856438259611e+00,-3.750233771314785258e+01
1.240000000000000000e+02,3.465441448299260173e+03,1.066416707428574862e+00,-3.802994808878021615e+01
1.250000000000000000e+02,3.499624450585171417e+03,1.073703126645756623e+00,-3.854505295776679930e+01
1.260000000000000000e+02,3.533851327564228541e+03,1.080537186930117022e+00,-3.904712121717980011e+01
1.270000000000000000e+02,3.568106544541548828e+03,1.086918814419820523e+00,-3.953554759787309791e+01
1.280000000000000000e+02,3.602381992187906235e+03,1.092833085966034457e+00,-4.000987543391701706e+01
1.290000000000000000e+02,3.636676986518790272e+03,1.098279931543299615e+00,-4.046957389441015351e+01
1.300000000000000000e+02,3.670975992010160553e+03,1.103244431655505453e+00,-4.091403798391401381e+01
1.310000000000000000e+02,3.705263676248747288e+03,1.107726629878750702e+00,-4.134281537644389459e+01
1.320000000000000000e+02,3.739547797014630305e+03,1.111727011936968434e+00,-4.175539584169951723e+01
1.330000000000000000e+02,3.773806612741852405e+03,1.115231323913519867e+00,-4.215134756279010730e+01
1.340000000000000000e+02,3.808040658536559931e+03,1.118255015744523906e+00,-4.253009030244464839e+01
1.350000000000000000e+02,3.842235618105202320e+03,1.120776410475643692e+00,-4.289134094026959332e+01
1.360000000000000000e+02,3.876392026320163041e+03,1.122803534763344713e+00,-4.323444516611616706e+01
1.370000000000000000e+02,3.910495566797543688e+03,1.124329564997494701e+00,-4.355897152955700591e+01
1.380000000000000000e+02,3.944539348861678263e+03,1.125362529668334277e+00,-4.386456292672232138e+01
1.390000000000000000e+02,3.978509056395837888e+03,1.125895606729780285e+00,-4.415078808699617952e+01
1.400000000000000000e+02,4.012412650453503829e+03,1.125929400332208896e+00,-4.441721582832403925e+01
1.410000000000000000e+02,4.046228390004439461e+03,1.125479366301621820e+00,-4.466348931238352549e+01
1.420000000000000000e+02,4.079949385814733432e+03,1.124531258238985476e+00,-4.488910327462020433e+01
1.430000000000000000e+02,4.113576174959855962e+03,1.123093106740044922e+00,-4.509377530415147817e+01
1.440000000000000000e+02,4.147087018469727809e+03,1.121172942361596814e+00,-4.527707456104140959e+01
1.450000000000000000e+02,4.180482455229674997e+03,1.118763944207202599e+00,-4.543849603095020484e+01
1.460000000000000000e+02,4.213733322761138879e+03,1.115881567885810055e+00,-4.557783180466216066e+01
1.470000000000000000e+02,4.246832736755887709e+03,1.112533842838774101e+00,-4.569450276999653227e+01
1.480000000000000000e+02,4.279766388737492889e+03,1.108721372165815344e+00,-4.578822691610575646e+01
1.490000000000000000e+02,4.312519971848756541e+03,1.104452183694409451e+00,-4.585857379391612909e+01
1.500000000000000000e+02,4.345079181013777088e+03,1.099734304172989008e+00,-4.590511302646594061e+01
1.510000000000000000e+02,4.377422121728797720e+03,1.094575749355711114e+00,-4.592756130165528816e+01
1.520000000000000000e+02,4.409555941110982531e+03,1.088984494630325983e+00,-4.592562930492202611e+01
1.530000000000000000e+02,4.441465345909999996e+03,1.082975929632198131e+00,-4.589902626927857199e+01
1.540000000000000000e+02,4.473149896524936594e+03,1.076565442150777097e+00,-4.584761000278614773e+01
1.550000000000000000e+02,4.504601730269795553e+03,1.069753566680424095e+00,-4.577101560471327701e+01
1.560000000000000000e+02,4.535827838380921094e+03,1.062563112342545191e+00,-4.566910100037537035e+01
1.570000000000000000e+02,4.566805512390191325e+03,1.054994608930938771e+00,-4.554157565716101885e+01
1.580000000000000000e+02,4.597541749237901968e+03,1.047078286079346610e+00,-4.538822335050063828e+01
