# ell,Dl_TT (LCDM PR4 best-fit)
4.200000000000000000e+02,1.738552336656269063e+03
4.210000000000000000e+02,1.741867706723588299e+03
4.220000000000000000e+02,1.745494725245495829e+03
4.230000000000000000e+02,1.749440773331414903e+03
4.240000000000000000e+02,1.753690951481516322e+03
4.250000000000000000e+02,1.758237793123430492e+03
4.260000000000000000e+02,1.763081264737505990e+03
4.270000000000000000e+02,1.768199052569463674e+03
4.280000000000000000e+02,1.773605989533408774e+03
4.290000000000000000e+02,1.779272343446465129e+03
4.300000000000000000e+02,1.785198100604191268e+03
4.310000000000000000e+02,1.791383252437270585e+03
4.320000000000000000e+02,1.797812938852835487e+03
4.330000000000000000e+02,1.804494590011181117e+03
4.340000000000000000e+02,1.811405927882709193e+03
4.350000000000000000e+02,1.818554393041619051e+03
4.360000000000000000e+02,1.825932574538948757e+03
4.370000000000000000e+02,1.833533066560488805e+03
4.380000000000000000e+02,1.841348468367196347e+03
4.390000000000000000e+02,1.849378812569135562e+03
4.400000000000000000e+02,1.857609279982090584e+03
4.410000000000000000e+02,1.866032484569869894e+03
4.420000000000000000e+02,1.874633616620203156e+03
4.430000000000000000e+02,1.883412727657479763e+03
4.440000000000000000e+02,1.892355016890202023e+03
4.450000000000000000e+02,1.901453116097620978e+03
4.460000000000000000e+02,1.910699661103854851e+03
4.470000000000000000e+02,1.920087291591898293e+03
4.480000000000000000e+02,1.929623507608972886e+03
4.490000000000000000e+02,1.939293527612267553e+03
4.500000000000000000e+02,1.949090001660382995e+03
4.510000000000000000e+02,1.959013020790488326e+03
4.520000000000000000e+02,1.969062717225203414e+03
4.530000000000000000e+02,1.979216950325421521e+03
4.540000000000000000e+02,1.989475866878205807e+03
4.550000000000000000e+02,1.999824759124310049e+03
4.560000000000000000e+02,2.010256349589604724e+03
4.570000000000000000e+02,2.020763362518776148e+03
4.580000000000000000e+02,2.031331095313632659e+03
4.590000000000000000e+02,2.041944846677781015e+03
4.600000000000000000e+02,2.052619629819149395e+03
4.610000000000000000e+02,2.063325888757231041e+03
4.620000000000000000e+02,2.074086066695363115e+03
4.630000000000000000e+02,2.084870608946496304e+03
4.640000000000000000e+02,2.095701959677077411e+03
4.650000000000000000e+02,2.106550564855787343e+03
4.660000000000000000e+02,2.117431440671542532e+03
4.670000000000000000e+02,2.128329889908778568e+03
4.680000000000000000e+02,2.139231215239671656e+03
